TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
org.cs362.dominion.SupplyStack,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.6026936026936027,297,179,1.0,1111111,1.0,111,0.0,000,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,000
org.cs362.dominion.App,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.6,290,174,1.0,111,1.0,11,0.0,00,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,00
org.cs362.dominion.Card,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.6924157303370787,712,493,1.0,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8076923076923077,11111111111111111111111111111111111111111111111111111111111111111010101010101010101010101010101010101010,0.19230769230769232,00000001101000011001001000001010000000000010000000100000000010100001000000000010000011000000000000101001,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,000
org.cs362.dominion.Turn,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.5390749601275917,627,338,0.7913669064748201,1111111111111111000001111111100011111100011111100011111100011111111111111111111111111111111111111111111111111111111111000000111100000011111,0.59,0101111111111111001010000010000010000010000001111111111111111011111111101010010010100000001111111111,0.0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,0000000
org.cs362.dominion.CardSupply,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.35765616362631286,1809,647,0.5993589743589743,111111111111111111111111111111111111111111111111111111111111111111111111110011110011111111110011111100110001111111110011110011111111110011111100110001111111111111111111110000000000000000000000000000111100001100000000000000000000000000000011011111111111000000000000000011000000001100000000011011101101111101110100,0.473421926910299,11101011101011101111111111110111111111010111011111110111011010101010100010101010000010001010100010111100111111111111111101111111110101110111111101110110101010101000101010100000100010101000101101111101010101010101011101010101010101010100101000000000000000001000000000000000000101010101010101010111010101011101010101010000000000000000000010000000001000000000111111111111111111111111111111111111111101101010101010101010101010101010101010101011011111111101111111110101110111111101110110001010101000101010100000100010101000100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.009966777408637873,00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,000000000000
org.cs362.dominion.Player,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.64,375,240,0.9130434782608695,111111111111111111111111111111111111111111111111111111111111111000000,0.8,1100111111,0.0,0000000000,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,00000
org.cs362.dominion.PlayTest,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.5714285714285714,329,188,0.65,11111111111110000000,0.46153846153846156,1111110000000,0.0,0000000000000,0.6014234875444839,11111111111111110110001011111110111111101111101111111011011111111111111011100100100101111111100000000000000000001011011101111111011110010111111111011110010111111111111111111111000000000000000000000110011000000001000001110101011010000000000010000100101111011110010111111101111110111,0.0,00
org.cs362.dominion.SupplyStack,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.5,266,133,1.0,1111111,1.0,111,0.0,000,0.492,1111111111111100001101111111101011111101110111110111111100101111111001100111000000000000011111110000000000000000000110111010111010000010101101000001010111111111111100000000000000001101001000000000111010110101000000000000000100000001010110111011101111,0.0,000
org.cs362.dominion.App,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4942084942084942,259,128,1.0,111,1.0,11,0.0,00,0.492,1111111111111100001101111111101011111101110111110111111100101111111001100111000000000000011111110000000000000000000110111010111010000010101101000001010111111111111100000000000000001101001000000000111010110101000000000000000100000001010110111011101111,0.0,00
org.cs362.dominion.Card,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.6392156862745098,765,489,1.0,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.863013698630137,11111111111111111111111111111111111111111111111111111111111111110101010101010101010101010101010101010101111111111111111111111111111111111111111111,0.136986301369863,00000000100101000000100010000010100000000000010100000000000000001001000000000000000010000100000010000000100010010000000000000001000100000000100000,0.492,1111111111111100001101111111101011111101110111110111111100101111111001100111000000000000011111110000000000000000000110111010111010000010101101000001010111111111111100000000000000001101001000000000111010110101000000000000000100000001010110111011101111,0.0,000
