TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
org.cs362.dominion.Dominion.Card,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8664,1250,1083,0.9732620320855615,1111111111111111111111111111111111111111111111101111111111011111111111111111111111111111111111111111111011111111111101111111111111111111111111111111111111111111111101111111111111111111111,0.7931034482758621,01111111011111111110111111110101011101110111111110101111010111001010111110101011111111111111111111110111100111111001,0.6120689655172413,10000100111111010011111011010101011110011000000111101111001011110011011000011011110011100111111101011100100111101111,0.902200488997555,11111110111101111111101111110111111111111111111111111111111111101110111111110111111111111100111011111111111110111111111111110111111111111111111100000011111111111111111111111110101111111111111111111111111111111100010101111111111111111110111111111111111111111111111111111111011111111111111111011111110111111110111111111111111111110111111101111101111111111111111111111111110111011101111111111111111111111111111111111111111111111111111111111111111111000000000000000000001111111011111111111111111111111111111111111000001110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111101111111111111111111111111101111111111111110111111011111110100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111011110111100100001,0.0,0000000000000
org.cs362.dominion.Dominion.GameState,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8312655086848635,1209,1005,0.9828571428571429,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111100111111111111111111111111111111,0.9587628865979382,1111111111111111111111111111111111111111101111111110111111111111111111111111111111111101110111111,0.020618556701030927,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000,0.902200488997555,11111110111101111111101111110111111111111111111111111111111111101110111111110111111111111100111011111111111110111111111111110111111111111111111100000011111111111111111111111110101111111111111111111111111111111100010101111111111111111110111111111111111111111111111111111111011111111111111111011111110111111110111111111111111111110111111101111101111111111111111111111111110111011101111111111111111111111111111111111111111111111111111111111111111111000000000000000000001111111011111111111111111111111111111111111000001110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111101111111111111111111111111101111111111111110111111011111110100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111011110111100100001,0.0,0000000000000000000000
org.cs362.dominion.Dominion.PlayDominion,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8842105263157894,855,756,0.75,1110111110101110,0.6666666666666666,110111010,0.0,000000000,0.902200488997555,11111110111101111111101111110111111111111111111111111111111111101110111111110111111111111100111011111111111110111111111111110111111111111111111100000011111111111111111111111110101111111111111111111111111111111100010101111111111111111110111111111111111111111111111111111111011111111111111111011111110111111110111111111111111111110111111101111101111111111111111111111111110111011101111111111111111111111111111111111111111111111111111111111111111111000000000000000000001111111011111111111111111111111111111111111000001110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111101111111111111111111111111101111111111111110111111011111110100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111011110111100100001,0.0,000
org.cs362.dominion.Dominion.Player,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7794226498889711,1351,1053,0.9013452914798207,1111111111111111111111111111111111111111111111111111111111111111111111111011011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000111111111111011111111111111111111111,0.8444444444444444,111111111111111111111111111111111111111111111111111111111111111111010111111111111111111111111110000000000000000001111111111111111111110,0.0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.902200488997555,11111110111101111111101111110111111111111111111111111111111111101110111111110111111111111100111011111111111110111111111111110111111111111111111100000011111111111111111111111110101111111111111111111111111111111100010101111111111111111110111111111111111111111111111111111111011111111111111111011111110111111110111111111111111111110111111101111101111111111111111111111111110111011101111111111111111111111111111111111111111111111111111111111111111111000000000000000000001111111011111111111111111111111111111111111000001110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111101111111111111111111111111101111111111111110111111011111110100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111011110111100100001,0.0,0000000000000000000000000000000000000000
org.cs362.dominion.Dominion.Card,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8869286287089013,1247,1106,0.9834254143646409,1111111111111111111111111111111111111111111111101111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111,0.8333333333333334,011111110111111111101111111101010111011101111111101011110101110011111111111011111111111111111111110111101111111001,0.6491228070175439,100001001111110101111111011001001011100011010011111011111000111101110100001101111011001111110011010110011111111111,0.92,111111101111011111111011111101111111111111111111111111111111111011111011111111011111111111110011101111111111111011111111111111011111111111111111111100000011111111111111111111111111101011111111111111111111111111111111111110011111111111111111110111111111111111111111111111111111111011111111101111111011111111111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,0000000000000
org.cs362.dominion.Dominion.GameState,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8500823723228995,1214,1032,1.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9894736842105263,11111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111,0.021052631578947368,00000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000,0.92,111111101111011111111011111101111111111111111111111111111111111011111011111111011111111111110011101111111111111011111111111111011111111111111111111100000011111111111111111111111111101011111111111111111111111111111111111110011111111111111111110111111111111111111111111111111111111011111111101111111011111111111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,0000000000000000000000
org.cs362.dominion.Dominion.PlayDominion,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9039351851851852,864,781,0.8333333333333334,111111111110101110,0.7777777777777778,111111010,0.0,000000000,0.92,111111101111011111111011111101111111111111111111111111111111111011111011111111011111111111110011101111111111111011111111111111011111111111111111111100000011111111111111111111111111101011111111111111111111111111111111111110011111111111111111110111111111111111111111111111111111111011111111101111111011111111111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,000
org.cs362.dominion.Dominion.Player,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7970479704797048,1355,1080,0.9234234234234234,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000111111111111011111111111111111111111,0.8656716417910447,11111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111100000000000000001111111111111111111110,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.92,111111101111011111111011111101111111111111111111111111111111111011111011111111011111111111110011101111111111111011111111111111011111111111111111111100000011111111111111111111111111101011111111111111111111111111111111111110011111111111111111110111111111111111111111111111111111111011111111101111111011111111111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,0000000000000000000000000000000000000000
org.cs362.dominion.Dominion.Card,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8227746591820368,1247,1026,0.8397790055248618,1111111110111111111111111101111110111000111111101111111100000000001111111111111111111111111111111110110001111111111111111111111111111111111111111111111111111101111110001000011111111,0.7017543859649122,011011010111111011101001001101010101000001111111101011110101110011010111111011111111111111111111110111101011101001,0.5175438596491229,100001000101110101111111011001001011100011010011011011110000110101110000001101110011001111000001010010001001111110,0.8909090909090909,111111101011011111111011111101111111111111111111111111111111111011111011111111011111111110000000000000000111111011111111111110000111111111111111111100000011111111111111111111111111101011111111111111111111111111111110011100011111111111111111100111111111111111111111111111111111111011111111101111111011111101111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111110111111111111111111111110111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,0000000000000
org.cs362.dominion.Dominion.GameState,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.828665568369028,1214,1006,0.9943502824858758,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111,0.9789473684210527,11111111111111111111111111111111111111111011111111111111111111111111111111111111111111111101111,0.021052631578947368,00000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000,0.8909090909090909,111111101011011111111011111101111111111111111111111111111111111011111011111111011111111110000000000000000111111011111111111110000111111111111111111100000011111111111111111111111111101011111111111111111111111111111110011100011111111111111111100111111111111111111111111111111111111011111111101111111011111101111011111111111111111111011111110111110111111111111111111111111111011101110111111111111111111111111111111111111111111111111111111111111111111111111110000000000000111111101111111111111111111111111111111111100000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111110111111111111111111111110111111111111111011111101111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011110111100100001,0.0,0000000000000000000000
