GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dominion,default,DominionBoard,0,462,0,124,0,134,0,67,0,5
Dominion,default,Player,668,294,73,17,140,75,38,25,0,18
Dominion,default,Card.CardName,0,218,0,0,0,2,0,4,0,4
Dominion,default,Card.Type,5,43,0,0,0,2,1,3,1,3
Dominion,default,PlayGame,572,134,65,9,116,32,35,4,0,2
Dominion,default,Card,10,572,3,25,4,104,3,28,1,16
Dominion,org.cs362.dominion,Card.CardName,0,218,0,0,0,2,0,4,0,4
Dominion,org.cs362.dominion,Card,2,580,2,26,1,107,2,29,0,17
Dominion,org.cs362.dominion,DominionBoard,0,462,0,124,0,134,0,67,0,5
Dominion,org.cs362.dominion,Card.Type,5,43,0,0,0,2,1,3,1,3
Dominion,org.cs362.dominion,PlayGame,105,721,21,75,10,124,17,34,0,3
Dominion,org.cs362.dominion,Player,123,948,18,88,24,206,14,57,0,18
